nfe.id_nfe,nfe.numero_nfe,nfe.serie,nfe.data_emissao,nfe.natureza_operacao,nfe.cnpj_emitente,nfe.nome_emitente,nfe.uf_emitente,nfe.municipio_emitente,nfe.nome_destinatario,nfe.valor_produtos,nfe.valor_desconto,nfe.valor_total_nf,nfe.arquivo_origem
NFe11190868395241000110550030004695851190205487,469585,3,2019-08-27T18:37:05-03:00,VENDA DE MERCADORIA,68395241000110,DA COSTA MERCADO LTDA,RO,AZEVEDO,DANIELA TEIXEIRA,22.43,0.0,22.43,nfe_063.xml
NFe11200560149872000148550010007450121109126614,745012,1,2020-05-09T10:32:51-03:00,VENDA DE MERCADORIA,60149872000148,FARIAS ATACAREJO LTDA,RO,ROCHA DE MINAS,LORENZO DA CUNHA,81.38,0.0,81.38,nfe_077.xml
NFe11210341968357000145550030000411631957892470,41163,3,2021-03-12T08:11:06-03:00,VENDA DE MERCADORIA,41968357000145,PEREIRA MERCADO LTDA,RO,DA CUNHA,BERNARDO PEIXOTO,42.33,0.0,42.33,nfe_028.xml
NFe11220124691035000182550020007747301261680809,774730,2,2022-01-08T18:31:29-03:00,VENDA DE MERCADORIA,24691035000182,FOGAÇA HIPERMERCADO LTDA,RO,NOVAIS DA PRAIA,JOÃO MIGUEL MARQUES,102.05,0.0,102.05,nfe_052.xml
NFe11240353716094000166550020005134401251326107,513440,2,2024-03-23T18:01:51-03:00,VENDA DE MERCADORIA,53716094000166,SILVA MERCEARIA LTDA,RO,CALDEIRA,SRA. CAMILA MENDONÇA,138.93,0.91,138.02,nfe_004.xml
NFe11250854869370000199550030006101181304629148,610118,3,2025-08-04T09:00:36-03:00,VENDA DE MERCADORIA,54869370000199,PACHECO MERCADO LTDA,RO,DA CRUZ DE LIMA,DIEGO PIMENTA,99.86,2.38,97.48,nfe_035.xml
NFe12190110452967000168550010006640361445303553,664036,1,2019-01-31T17:22:38-03:00,VENDA DE MERCADORIA,10452967000168,VASCONCELOS MERCADO LTDA,AC,NOGUEIRA,MAYA BARBOSA,8.16,0.0,8.16,nfe_030.xml
NFe12231084620519000162550020002982091785586479,298209,2,2023-10-22T08:28:49-03:00,VENDA DE MERCADORIA,84620519000162,MELO MERCADO LTDA,AC,MACHADO,DRA. VITÓRIA MENDONÇA,161.02,0.3,160.72,nfe_041.xml
NFe12240287314290000126550030001511121557446758,151112,3,2024-02-14T10:34:10-03:00,VENDA DE MERCADORIA,87314290000126,MARQUES HIPERMERCADO LTDA,AC,LIMA DO CAMPO,IGOR AZEVEDO,62.02,0.0,62.02,nfe_027.xml
NFe13180320871436000163550020005520321954477275,552032,2,2018-03-06T13:59:13-03:00,VENDA DE MERCADORIA,20871436000163,CASSIANO SUPERMERCADO LTDA,AM,RAMOS,OLIVER AZEVEDO,83.02,1.02,82.0,nfe_040.xml
